20626,/2023-9-10/,18,83.0,71.2,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",6.6,24.2,0.0,0.383
20735,/2023-9-10/,6,78.4,68.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",7.6,9.2,0.0,0.359
20854,/2023-9-10/,8,79.9,67.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",6.5,9.2,0.0,0.017
21013,/2023-9-10/,42,79.3,69.5,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",7.0,17.2,0.0,0.102
21042,/2023-9-10/,22,80.7,68.5,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",6.5,17.2,0.0,0.063
21043,/2023-9-10/,22,80.6,68.6,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",6.6,17.2,0.0,0.06
21048,/2023-9-10/,13,80.6,69.1,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",7.3,17.2,0.0,0.23
21060,/2023-9-10/,5,80.8,70.1,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",7.0,17.2,0.0,0.068
21075,/2023-9-10/,10,80.8,69.3,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",6.9,17.2,0.0,0.057
21093,/2023-9-10/,260,79.9,70.4,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",7.3,17.2,0.0,0.06
21111,/2023-9-10/,27,78.8,68.9,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",5.7,16.1,0.0,0.25
21131,/2023-9-10/,81,79.4,69.5,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",6.4,17.2,0.0,0.117
21132,/2023-9-10/,5,78.2,68.4,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",6.2,16.1,0.0,0.402
21133,/2023-9-10/,93,80.5,68.9,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",6.0,17.2,0.0,0.088
21136,/2023-9-10/,16,80.4,69.1,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",6.1,17.2,0.0,0.158
21152,/2023-9-10/,18,80.1,69.5,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",6.4,17.2,0.0,0.11
21154,/2023-9-10/,9,78.7,67.1,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",6.1,16.1,0.0,0.564
21161,/2023-9-10/,6,78.6,68.8,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",5.9,16.1,0.0,0.26
21163,/2023-9-10/,85,80.6,68.1,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",6.1,17.2,0.0,0.072
21208,/2023-9-10/,115,80.4,69.3,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",6.3,17.2,0.0,0.073
21223,/2023-9-10/,31,80.8,69.7,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",7.1,17.2,0.0,0.048
21228,/2023-9-10/,5,80.7,69.5,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",7.0,17.2,0.0,0.057
21244,/2023-9-10/,7,80.5,68.9,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",6.3,17.2,0.0,0.073
21286,/2023-9-10/,34,80.1,70.4,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",7.9,17.2,0.0,0.048
21409,/2023-9-10/,300,80.8,71.9,Partly cloudy throughout the day with morning rain.,"Rain, Partially cloudy",9.9,17.2,0.0,0.116
21738,/2023-9-10/,11,80.3,66.8,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",6.5,17.2,0.0,0.033
21740,/2023-9-10/,7,76.6,66.5,Partly cloudy throughout the day.,Partially cloudy,6.5,9.2,0.0,0.0
20715,/2023-9-8/,8,89.5,73.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",12.4,31.1,0.0,0.205
20747,/2023-9-8/,20,90.9,71.5,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",13.1,31.1,0.0,0.36
20854,/2023-9-8/,106,90.1,67.6,Becoming cloudy in the afternoon with late afternoon rain.,"Rain, Partially cloudy",10.2,23.0,0.0,0.287
21047,/2023-9-8/,14,92.4,69.6,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",8.2,29.8,0.0,0.055
21053,/2023-9-8/,38,88.1,66.7,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",7.2,11.4,0.0,0.051
21054,/2023-9-8/,18,90.0,73.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",10.3,29.8,0.0,0.052
21108,/2023-9-8/,26,91.0,71.9,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",9.0,29.8,0.0,0.052
21113,/2023-9-8/,6,90.7,72.3,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",9.5,29.8,0.0,0.051
21122,/2023-9-8/,14,89.8,72.4,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",9.6,29.8,0.0,0.054
21136,/2023-9-8/,241,90.6,69.1,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",6.9,29.8,0.0,0.081
21146,/2023-9-8/,13,89.0,73.8,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",11.3,29.8,0.0,0.056
21771,/2023-9-10/,18,79.4,66.8,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",6.1,11.4,0.0,0.072
21794,/2023-9-10/,40,80.5,67.6,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",6.1,17.2,0.0,0.062
21797,/2023-9-10/,5,80.3,67.1,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",5.9,17.2,0.0,0.063
